Source,Target
Ayman Baalbaki,1975
CAMP,1975
Erkka Nissinen,1975
Fateh Moudarres,1975
Fred Eerdekens,1975
Hassan Massoudy,1975
Jayce Salloum,1975
Jessica Mein,1975
Jun Yang,1975
Maider López,1975
Mohamed Ali Fadlabi,1975
Mona Hatoum,1975
Nika Oblak,1975
Primož Novak,1975
Raana-Farnoud,1975
Sara Ramo,1975
Shafic Abboud,1975
Sherif El Azma,1975
Tagreed Al-Bagshi,1975
Taha Al-Sabban,1975
Yonamine,1975
Younès Rahmoun,1975
Marcel Odenbach,1975-1983
Walid Sadek,1975-1990
Mona Hatoum,1975-79
Amina Menia,1976
"Angelica Mesiti ",1976
Baseem Al Sharqi,1976
Burak Arikan,1976
Dia Al-Azzawi,1976
Doa Aly,1976
Ibrahim Abumsmar,1976
Khaled Jarrar,1976
Maha Malluh,1976
Pablo Lobato,1976
Samira Badran,1976
Shilpa Gupta,1976
Taha Al-Sabban,1976
Walid Siti,1976
Zena el Khalil,1976
Ali Jabri,1977
Ayşe Erkmen,1977
"Basim Magdy ",1977
Dimi Mint Abba,1977
"Haroon Mirza ",1977
Heman Chong,1977
Javad Azimi,1977
Lani Maestro,1977
Leila Pazooki,1977
Mahmoud Bakhshi,1977
Mounir Al-Shaarani,1977
Muzamil Choudhury,1977
Noma Omran,1977
Oraib Toukan,1977
Raeda Saadeh,1977
Sahand Hesamiyan,1977
Ziad Dalloul,1977
Ala Ebtekar,1978
Alexandar Ugay,1978
Ali Jabri,1978
Anawana Haloba,1978
Ante Zaninović,1978
David Spriggs,1978
Djamel Kokene,1978
Eduard Puterbrot,1978
Idris Khan,1978
Ismaïl Bahri,1978
Khaled Sabsabi,1978
Lee Kit,1978
Mariam Ghani,1978
Mohamed Bourouissa,1978
Mounira Al Solh,1978
Nil Yalter,1978
Rasheed Araeen,1978
Seigen Ono,1978
Setareh Shahbazi,1978
Thilo Frank,1978
Waheeda Malullah,1978
Ziad Antar,1978
Abdulhalim Radwi,1979
Ahmed Foula,1979
Ahmed Mater,1979
Amir H. Fallah,1979
Arefeh Riahi,1979
Giuseppe Moscatello,1979
Hani Al Ghayhab,1979
Iman Issa,1979
