Source,Target
Kader Attia,Boston
Lara Favaretto,Boston
Oraib Toukan,Boston
Pouran-Jinchi,Boston
Raqs Media Collective,Boston
Tintin Wulia,Boston
Meriç Algün Ringborg,Botin Foundation
Saâdane Afif,Bourges School of Fine Arts
Nika Oblak,Box
Primož Novak,Box
Meriç Algün Ringborg,BR
Lara Baladi,Brancolini & Grimaldi Gallery
Agnes Janich,Bratislava
Khaled Jarrar,Bratislava
Mohamed Abdelkarim,Bratislava
Abdulhalim Radwi,Brazil
Abdullah Al Saadi,Brazil
Ali Essafi,Brazil
Ana Vidigal,Brazil
"Angelica Mesiti ",Brazil
Arefeh Riahi,Brazil
Carsten Höller,Brazil
Gabriela Golder,Brazil
Işıl Eğrikavuk,Brazil
Jessica Mein,Brazil
Juan Araujo,Brazil
Khaled Sabsabi,Brazil
Luz Maria Bedoya,Brazil
"Lúcia Koch ",Brazil
Marcel Odenbach,Brazil
Marwan Rechmaoui,Brazil
Moataz Nasr,Brazil
Mohamed Bourouissa,Brazil
Monir Shahroudy Farmanfarmaian,Brazil
Pablo Lobato,Brazil
Roberto Bellini,Brazil
Sara Ramo,Brazil
Shimabuku,Brazil
Simon Fujiwara,Brazil
"SUPERFLEX ",Brazil
Thomas Demand,Brazil
Valeska Soares,Brazil
Wang Jianwei,Brazil
Yang Shaobin,Brazil
Yonamine,Brazil
Yu-ichi Inoue,Brazil
Yuko Hasegawa,Brazil
Zineb Sedira,Brazil
Karim Aïnouz,Brazilian
"Lúcia Koch ",Brazilian
Valeska Soares,Brazilian
Yuko Hasegawa,Brazilian
Ana Torfs,Bremen
Marcel Odenbach,Bremen
Naeem Mohaiemen,Brian Boucher
Mona Marzouk,Bride Stripped
Gulnara Kasmalieva,Bridge
Muratbek Djumaliev,Bridge
Golnaz Fathi,Brighton & Hove Museum
Elena Kovylina,Brigitte Bardot
"Kamarstudios ",Brigitte Perkins
Derek Ogbourne,Brigitte Schenk
Shohreh Mehran,Brigitte Schenk
Alfredo Aquilizan,Brisbane
"Basir Mahmood ",Brisbane
Cevdet Erek,Brisbane
"Charwei Tsai ",Brisbane
Imran Qureshi,Brisbane
Isabel Aquilizan,Brisbane
Lani Maestro,Brisbane
Tiffany Chung,Brisbane
Yang Fudong,Brisbane
Doa Aly,Bristol
Hala Elkoussy,Bristol
Ali Jabri,Bristol University
Andreas Gursky,Britain
Aras Özgün,Britain
Jananne Al-Ani,Britain
Mona Hatoum,Britain
Raqs Media Collective,Britain
Rasheed Araeen,Britain
Reza Aramesh,Britain
Zineb Sedira,Britain
Hassan Sharif,British
Khaled Al-Faisal,British
Muzamil Choudhury,British
Rasheed Araeen,British
Reza Aramesh,British
Shadia Alem,British Airways
Barry Doupé,British Columbia
Ahmad Amin Nazar,British Museum (London)
Ahmed Mater,British Museum (London)
Basmah Felemban,British Museum (London)
Golnaz Fathi,British Museum (London)
Hassan Massoudy,British Museum (London)
Lulwah Al-Homoud,British Museum (London)
Mounir Al-Shaarani,British Museum (London)
Ninar Esber,British Museum (London)
Sarah Al Abdali,British Museum (London)
Shadi Ghadirian,British Museum (London)
Walid Siti,British Museum (London)
Youssef Abdelkė,British Museum (London)
Youssef Nabil,British Museum (London)
YOVO! YOVO!,Brixen
"Basir Mahmood ",Broad Museum
Magdi Mostafa,Bronx Museum
Sama Alshaibi,Bronx Museum
Ayreen Anastas,Brooklyn
Gulnara Kasmalieva,Brooklyn
Mariam Ghani,Brooklyn
Muratbek Djumaliev,Brooklyn
Murtaza Vali,Brooklyn
Sohrab Mohebbi,Brooklyn
Valeska Soares,Brooklyn
Daniel Garcia,Brooklyn Art Council
Rania Attieh,Brooklyn Art Council
Jesper Just,Brooklyn Museum
Pouran-Jinchi,Brooklyn Museum
Lulwah Al-Homoud,Brunei
Ana Torfs,Brussels
Ayreen Anastas,Brussels
Carsten Höller,Brussels
David Claerbout,Brussels
Doa Aly,Brussels
Edward Said,Brussels
Fred Eerdekens,Brussels
Gabriel Lester,Brussels
Jalal Toufic,Brussels
Manal Al Dowayan,Brussels
Marwan Rechmaoui,Brussels
Melik Ohanian,Brussels
Meriç Algün Ringborg,Brussels
Mohamed Bourouissa,Brussels
Mouna Karray,Brussels
Nida Sinnokrot,Brussels
Raeda Saadeh,Brussels
Raqs Media Collective,Brussels
Romeo Castellucci,Brussels
Sherif El Azma,Brussels
Slavs and Tatars,Brussels
Tarek Halaby,Brussels
Yu-ichi Inoue,Brussels
Abbas Akhavan,Bucharest
Yazid Oulab,Bucharest
Elias Zayat,Budapest
Andrés Denegri,Buenos Aires
Lara Favaretto,Buenos Aires
Liliana Porter,Buenos Aires
Marcel Odenbach,Buenos Aires
Mariam Ghani,Buffalo
Érik Bullot,Buffalo
Nika Oblak,Bulgaria
Primož Novak,Bulgaria
Susan Hefuna,Bulgaria
Ismaïl Bahri,Busan
Lani Maestro,Busan
Larissa Sansour,Busan
Nika Oblak,Busan
Primož Novak,Busan
Rula Halawani,Busan
Doa Aly,Busan Biennale
Heman Chong,Busan Biennale
Liu Wei,Busan Biennale
Moataz Nasr,Busan Biennale
Nika Oblak,Busan International
Primož Novak,Busan International
Hassan Sharif,Byam Shaw School of Art
Mona Hatoum,Byam Shaw School of Art
Ala Ebtekar,CA
Sherin Guirguis,CA
Eyal Weizman,Cabinet
"Apichatpong Weerasethakul ",Cactus River
"Kamarstudios ",Caen
Lani Maestro,Caen
Alfredo Aquilizan,Cagayan Valley
Ahmed El Attar,Cairo
Ali Jabri,Cairo
Angela Harutyunyan,Cairo
Anna Boghiguian,Cairo
Ayman Ramadan,Cairo
"Basim Magdy ",Cairo
Djamel Kokene,Cairo
Doa Aly,Cairo
Elias Zayat,Cairo
Fahd Al-Hijilan,Cairo
Firoz Mahmud,Cairo
Fouad Elkoury,Cairo
Hala Elkoussy,Cairo
Hanan Abdullah Bahamdan,Cairo
Haytham el Wardany,Cairo
Huda Lutfi,Cairo
Ibrahim Abumsmar,Cairo
Iman Issa,Cairo
Judith Barry,Cairo
Lamia Joreige,Cairo
Lara Baladi,Cairo
Magdi Mostafa,Cairo
Maha Maamoun,Cairo
Mahmoud Refat,Cairo
Mai Al Ibrashy,Cairo
Moataz Nasr,Cairo
Moayad Hakim,Cairo
Mohamed Abdelkarim,Cairo
Mona Marzouk,Cairo
Monika Börgmann,Cairo
Mounir Al-Shaarani,Cairo
Nadia Ayari,Cairo
Nil Yalter,Cairo
Ninar Esber,Cairo
Raafat Ishak,Cairo
Raeda Ashour,Cairo
Safeya Binzagr,Cairo
Sama Alshaibi,Cairo
Samira Badran,Cairo
Setareh Shahbazi,Cairo
Sherif El Azma,Cairo
Sherin Guirguis,Cairo
Sophia Al Maria,Cairo
Soraya Darwish,Cairo
Susan Hefuna,Cairo
Waheeda Malullah,Cairo
Youssef Nabil,Cairo
Fateh Moudarres,Cairo Biennial
Lara Baladi,Cairo Biennial
Moataz Nasr,Cairo Biennial
Youssef Abdelkė,Cairo Biennial
Mai Al Ibrashy,Cairo Cemetery Salvage Project
Mohamed Abdelkarim,Cairo-Documenta
Ahmed El Attar,Cairo International
Waheeda Malullah,Cairo Opera House
Farhad Moshiri,CalArts
"Sille Storihle ",CalArts
Thilo Frank,Calder Saché
David Spriggs,Calgary
Marilou Lemmens,Calgary
Richard Ibghy,Calgary
Ala Ebtekar,California
Ali Jabri,California
Amir H. Fallah,California
Ayman Ramadan,California
Bae Young-whan,California
CAMP,California
Carlos  Amorales,California
Carsten Höller,California
"Charwei Tsai ",California
David Claerbout,California
Doris Bittar,California
Eduardo Terrazas,California
Graziella Rizkallah Toufic,California
Latifa Echakhch,California
Lawrence Weiner,California
Maha Maamoun,California
Mohammed Al Ghamdi,California
Runa Islam,California
Shahzia Sikander,California
Sherin Guirguis,California
Shimabuku,California
Simon Fujiwara,California
Simone Fattal,California
Tiffany Chung,California
Valeska Soares,California
Doris Bittar,California Arts Council
Harrell Fletcher,California College of the Arts
Sherin Guirguis,California Community Foundation
Farhad Moshiri,California Institute of the Arts
Tiffany Chung,California State University
Golnaz Fathi,Calligraphy Association of Iran
Taus Makhacheva,Calvert
Alberto Duman,Camberwell College of Art
Ayreen Anastas,Cambridge
Burak Arikan,Cambridge
Jayce Salloum,Cambridge
José Luis Martinat,Cambridge
Lamia Joreige,Cambridge
Marie-Hélène Cauvin,Cambridge
Rashid Masharawi,Cambridge
Simon Fujiwara,Cambridge University
"Haroon Mirza ",Camden Arts Centre
Sherif El Azma,Camden Arts Centre
Yuk King Tan,Camden Arts Centre
Pascale Marthine Tayou,Cameroon
Manal Al Dowayan,Camille Zakharia
Ayreen Anastas,Camp Campaign
Jawad Al Malhi,camp Shuafat
Abbas Akhavan,Canada
Ahmad Konash,Canada
Ahmed Foula,Canada
Andreas Gursky,Canada
Anri Sala,Canada
Arwa Abouon,Canada
CAMP,Canada
Dan Brault,Canada
David Spriggs,Canada
Haig Aivazian,Canada
Jayce Salloum,Canada
Khaled Sabsabi,Canada
Lani Maestro,Canada
Lawrence Weiner,Canada
Nil Yalter,Canada
Noma Omran,Canada
Panos Tsagaris,Canada
Runa Islam,Canada
Ryoji Ikeda,Canada
Simon Fujiwara,Canada
Zahra Bu Ali,Canada
Jayce Salloum,Canadian
Zahra Bu Ali,Canadian
Mona Marzouk,Canary Islands Biennale
Abbas Kiarostami,Cannes
"Apichatpong Weerasethakul ",Cannes
"Joana Hadjithomas ",Cannes
Karim Aïnouz,Cannes
Khalil Joreige,Cannes
Pouya Parsamagham,Cannes
Agnes Janich,Can Serrat International
Ahmed Alsoudani,Canvas Magazine
Hasan and Husain Essop,Cape Town
Susan Hefuna,Cape Town
Melissa Chimera,Capital One
Juan Araujo,Caracas
Alberto Duman,Cardiff
Luz Maria Bedoya,Caribbean
Carlos  Amorales,Carlos Amorales
Yang Fudong,Carnegie International
Wafaa Bilal,Carnegie Mellon School of Art
Golnaz Fathi,Carnegie Mellon University
Kassab Bachi,Carnegie Museum of Art
Rika Noguchi,Carnegie Museum of Art
Trisha Donnelly,Carnegie Museum of Art
Lamia Joreige,Carpenter Center
Bahar Behbahani,Carrie Springer
Jawad Al Malhi,Cartier
Abdelfattah Kilito,Casablanca
Amino Belyamani,Casablanca
Driss Ouadahi,Casablanca
mounir fatmi,Casablanca
Omar Berrada,Casablanca
Waheeda Malullah,Casablanca
Hiroyuki Masuyama,Caspar David Friedrich
Ramin Haerizadeh,Cassia Assia
Youssef Nabil,Catherine Deneuve
Meriç Algün Ringborg,CCA
Ayreen Anastas,CCA Glasgow
Meriç Algün Ringborg,CCA Wattis Institute
Meriç Algün Ringborg,Cecilia Widenheim
Iman Raad,central Asia
Gulnara Kasmalieva,Central Asia
Muratbek Djumaliev,Central Asia
Gulnara Kasmalieva,Central Asian
Muratbek Djumaliev,Central Asian
Slavs and Tatars,Central Asians
Zhang Hui,Central Drama Academy
Agnes Janich,Central European
Mohamed Bourouissa,Central Farming
Eduard Puterbrot,Central House
Jenine Sharabi,Central Saint
Laurent Grasso,Central Saint
Noura Bouzo,Central Saint
David Spriggs,Central Saint Martins College of Art and Design
Lamya Gargash,Central Saint Martins School of Art
Samah Hijawi,Central Saint Martins School of Art
Lulwah Al-Homoud,Central St Martins College of Art
Shinichiro Ogata,central Tokyo
Doa Aly,Centre d'Art Contemporain
Mouna Karray,Centre d’Art Vivant at Rades (Tunisia)
Eyal Weizman,Centre for Research Architecture
Yazan Khalili,Centre for Research Architecture
Ahmed Mater,Centre Pompidou (Paris)
Akram Zaatari,Centre Pompidou (Paris)
Alexandar Ugay,Centre Pompidou (Paris)
"Angelica Mesiti ",Centre Pompidou (Paris)
Anri Sala,Centre Pompidou (Paris)
"Basim Magdy ",Centre Pompidou (Paris)
Bjørn Melhus,Centre Pompidou (Paris)
Carsten Höller,Centre Pompidou (Paris)
Edward Said,Centre Pompidou (Paris)
Fouad Elkoury,Centre Pompidou (Paris)
Hans Haacke,Centre Pompidou (Paris)
Ismaïl Bahri,Centre Pompidou (Paris)
Liu Wei,Centre Pompidou (Paris)
Melik Ohanian,Centre Pompidou (Paris)
Mona Hatoum,Centre Pompidou (Paris)
mounir fatmi,Centre Pompidou (Paris)
Nil Yalter,Centre Pompidou (Paris)
Omar Berrada,Centre Pompidou (Paris)
Rabih Mroué,Centre Pompidou (Paris)
Reem Al Ghaith,Centre Pompidou (Paris)
Shimabuku,Centre Pompidou (Paris)
Steve Reinke,Centre Pompidou (Paris)
Yazid Oulab,Centre Pompidou (Paris)
Yto Barrada,Centre Pompidou (Paris)
Ziad Antar,Centre Pompidou (Paris)
Zineb Sedira,Centre Pompidou (Paris)
Yuko Hasegawa,Century
Kazuyo Sejima,Century Museum of Contemporary Art
Yuko Hasegawa,Century Museum of Contemporary Art
Latifa Echakhch,Cergy
Ninar Esber,Cergy
Sirine Fattouh,Cergy
Zbyněk Baladrán,Chamber of Public Secrets
Shiro Takatani,Chambre Claire
Doa Aly,Chang Tsong-zung
Dirk Fleischmann,Charles Lim
Yusef A. Lateef,Charles Mingus
Amir H. Fallah,Charleston
Yusef A. Lateef,Chattanooga
Ahmad Morshedloo,Chelsea Art Museum
Ala Ebtekar,Chelsea Art Museum
Leila Pazooki,Chelsea Art Museum
Nikolaj Bendix,Chelsea College of Art
Haris Epaminonda,Chelsea College of Art and Design
"Haroon Mirza ",Chelsea College of Art and Design
Maider López,Chelsea College of Art and Design
Rana Begum,Chelsea College of Art and Design
Panos Tsagaris,Chelsea Hotel
Dirk Fleischmann,Cheongju University
Ahmed El Attar,Chevening
"Apichatpong Weerasethakul ",Chiang
Chai Siri,Chiang
Chai Siri,Chiang Mai University
Romeo Castellucci,Chiara Guidi
Basma Al Sharif,Chicago
Doug Henders,Chicago
Haig Aivazian,Chicago
N.S. Harsha,Chicago
Susan Hefuna,Chicago
Wafaa Bilal,Chicago
N.S. Harsha,Chicago Cultural Center
Wafaa Bilal,Chicago Tribune
Alfredo Jaar,Chile
Almagul Menlibayeva,Chile
Bijoy Jain,Chile
Enrique Ramirez,Chile
Eugenio Dittborn,Chile
Luz Maria Bedoya,Chile
Abdullah Al-Mazrook,China
"Angelica Mesiti ",China
Bijoy Jain,China
Doa Aly,China
Fred Eerdekens,China
Gabriel Lester,China
Heman Chong,China
Hu Xiangqian,China
Jalal Toufic,China
Jun Yang,China
Khaled Sabsabi,China
Lantian Xie,China
Larissa Sansour,China
Liu Wei,China
Moataz Nasr,China
Olafur Eliasson,China
Otobong Nkanga,China
Raqs Media Collective,China
Rasheed Araeen,China
Wang Jianwei,China
Yang Fudong,China
Yang Shaobin,China
Zhang Hui,China
Liu Wei,China Academy of Art
Wang Jianwei,China Academy of Art
Yang Fudong,China Academy of Art
Waheeda Malullah,China International
Baseem Al Sharqi,Chinese
Hu Xiangqian,Chinese
Tarek Atoui,Chinese
Wang Jianwei,Chinese
Naeem Mohaiemen,Chittagong Hill
Jun Yang,Chiyoda
Doa Aly,Chris Dercon
Steve Reinke,Chris Gehman
Heman Chong,Christchurch
Maider López,Christchurch
Abdelkader Benchamma,Christian Bernard
Kazuyo Sejima,Christian Dior
Ammar Bouras,Christian Lecompte
Monika Börgmann,Christian Phalange
Eva Meyer-Keller,Christine De Smedt
Jenine Sharabi,Christophers School
Carlos  Amorales,Cincinnati Art Center
Alexander Markov,Cinema and Television
Alexander Markov,Cinema History Department
Rashid Masharawi,Cinema Production Centre
Jawad Al Malhi,Cité
Faisal Samra,Cité International
Jawad Al Malhi,Cité International
Mohamed El Mahdaoui,Cité Internationale des Arts
Mouna Karray,Cite Internationale des Arts (Paris)
Dan Brault,City
Huda Lutfi,City
Iman Issa,City
José Luis Martinat,City
Jun Yang,City
Meriç Algün Ringborg,City
Minouk Lim,City
Shafic Abboud,City
Tiffany Chung,City
Wafaa Bilal,City
Rania Attieh,City College of New York
Rula Halawani,City Museum
Liliana Porter,City University of New York
Mouna Karray,Civitella Ranieri Foundation (Umbria
Ziad Dalloul,Claude Bernard
Shafic Abboud,Claude Monet
Edward Said,Claus Prize
Zena el Khalil,CNN
Jayce Salloum,Coach House Press
Hassan Hajjaj,Coca-Cola
Claudia Joskowicz,Cochabamba
João Vasco Paiva,Coimbra
Sherin Guirguis,College of Creative Studies
Adel Abdessemed,College of Fine Art
Ola Hejazi,College of London
Ahmad Amin Nazar,Cologne
Derek Ogbourne,Cologne
Hiroyuki Masuyama,Cologne
Marcel Odenbach,Cologne
Eugenio Dittborn,Colombia
Tony Chakar,Colombia
"Lúcia Koch ",Colorado
Yang Fudong,Colorado
Eduardo Terrazas,Columbia University
Edward Said,Columbia University
Iman Issa,Columbia University
Ahmed Alsoudani,Columbus Museum of Art
Lamya Gargash,Communication
Suzanne Cotter,Communication
Heman Chong,Communication Art and Design
Lamya Gargash,Communication Design
David Spriggs,Concordia University
Haig Aivazian,Concordia University
Lani Maestro,Concordia University
Balufu Bakupa Kanyinda,Congo
Moataz Nasr,Congo
Mouna Karray,Congo
Wafa Karsha,Congress
Elizabeth Peyton,Connecticut
Tom Molloy,Connecticut
Sam Shalabi,Constellation Records
Giuseppe Moscatello,Contemporanea
Adel Abdessemed,Contemporary
Doa Aly,Contemporary
Meriç Algün Ringborg,Contemporary
Shilpa Gupta,Contemporary
Eungie Joo,Contemporary Art and Multicultural Education
Nil Yalter,Contemporary Art Center
Ninar Esber,Contemporary Art Center
Shilpa Gupta,Contemporary Art Center Cincinnati
Adel Abdessemed,Contemporary Art Centre
Doa Aly,Contemporary Art Forum
Meriç Algün Ringborg,Contemporary Art Gallery
Fumito Urabe,Contemporary Art Museum
Setareh Shahbazi,Contemporary Arts Forum
Musaed Alhulis,Contemporary Islamic Art Exhibition
Zineb Sedira,Contemporary Wall
Gabriela Golder,CONTINENTE Research Center
Shahzia Sikander,Cooper Hewitt National Design
Doug Ashford,Cooper Union
Hans Haacke,Cooper Union
Mariam Ghani,Cooper Union
Rayyane Tabet,Cooper Union
Laurent Grasso,Cooper Union School
Ayman Ramadan,Copenhagen
Ebtisam Abdulaziz,Copenhagen
Jesper Just,Copenhagen
Larissa Sansour,Copenhagen
Melik Ohanian,Copenhagen
Meriç Algün Ringborg,Copenhagen
Nikolaj Bendix,Copenhagen
Olafur Eliasson,Copenhagen
Sama Alshaibi,Copenhagen
Sara Naim,Copenhagen
"SUPERFLEX ",Copenhagen
Thilo Frank,Copenhagen
Waheeda Malullah,Copenhagen
Wissam Shawkat,Copenhagen
Yang Shaobin,Copenhagen
Eduardo Terrazas,Cornell University
Murtaza Vali,Cornell University
Amina Menia,Cornerhouse
Imran Qureshi,Corvi Mora
Ismaïl Bahri,Cotonou
Otobong Nkanga,Cotonou
Rashid Masharawi,CPC
Michael Rakowitz,Creative Capital
Jamal Al Kebasi,Creative Design
João Vasco Paiva,Creators Project
Marie-Hélène Cauvin,Crossroads
Setareh Shahbazi,Crystal Series
Carlos  Amorales,Cuba
Jayce Salloum,Cuba
Rasheed Araeen,Cuba
Yang Fudong,Cuba
Yonamine,Cuba
Meriç Algün Ringborg,Cuenca
Alfredo Aquilizan,Cultural Center
Isabel Aquilizan,Cultural Center
Yuko Hasegawa,Cultural District Authority
Raffie Davtian,Cultural Studies Laboratory
Abdullah Nawawi,Culture
Yuko Hasegawa,Culture Centre
Yusef A. Lateef,Curtis Fuller
Haris Epaminonda,Cyprus
Eduard Puterbrot,Czech Republic
Noma Omran,Czech Republic
Susan Hefuna,Czech Republic
Bahar Behbahani,D.C.
Melissa Chimera,D.C.
Tanbak,D.C.
Valeska Soares,D.C.
Ayreen Anastas,DAAD
Hamra Abbas,DAAD
Hiroyuki Masuyama,DAAD
Jalal Toufic,DAAD
Karin Sander,DAAD
Eduard Puterbrot,Dagestan Museum of Fine Art
Abdulmajid Ali Al-Jarouf,Dahran
EFFAT ABDULLAH FADAG,Dahran
Saeed Salem,Daihatsu
N.S. Harsha,Daimler
Antonio Jose Guzman,Dakar
Doa Aly,Dakar
Hasan and Husain Essop,Dakar
Younès Rahmoun,Dakar
Ashkan Sepahvand,Damascus
Elias Zayat,Damascus
Hrair Sarkissian,Damascus
Julia Meltzer,Damascus
Kassab Bachi,Damascus
Marwan Kassab Bachi,Damascus
Monika Börgmann,Damascus
Noma Omran,Damascus
Rania Moudaress,Damascus
Samer Omran,Damascus
Samira Badran,Damascus
Yazan Khalili,Damascus
Youssef Abdelkė,Damascus
Ziad Dalloul,Damascus
Elizabeth Peyton,Danbury
Meriç Algün Ringborg,Daniel Birnbaum
Rania Attieh,Daniel Garcia
Sean Gullette,Daniel Shore
Rimini Protokoll,Daniel Wetzel
Olafur Eliasson,Danish
Setareh Shahbazi,dar
Omar Berrada,Dar
Sulayman Al Bassam,Dar
Ahaad Alamoudi,Dar Al Hekma
Maha Al-Khalawi,Dar Al Hekma
Samiah Khashoggi,Dar Al Hekma College
Sarah Al Abdali,Dar Al Hekma College
Hrair Sarkissian,Darat al Funun
Jananne Al-Ani,Darat al Funun
Jumana Emil Abboud,Darat al Funun
Kassab Bachi,Darat al Funun
Rayyane Tabet,Darat al Funun
Doa Aly,Darat Al-Funun
Amino Belyamani,Darek Oles
Sean Gullette,Darren Aronofsky
Panos Tsagaris,Davide Balliano & Panos Tsagaris
Sam Shalabi,David Kristian
Youssef Nabil,David Lachapelle
Heman Chong,David Reinfurt
Marie-Hélène Cauvin,David Rockefeller Center
Julia Meltzer,David Thorne
Bae Young-whan,de Appel Arts Centre
Ali Al-Tokhais,December
Tarek Halaby,December 2010
Basmah Felemban,December 2011
Solange Farkas,December 2011
Sahand Hesamiyan,Delfina Entrecanales
Abbas Akhavan,Delfina Foundation
Ammar Al Attar,Delfina Foundation
Jawad Al Malhi,Delfina Foundation
Manal Al Dowayan,Delfina Foundation
Waheeda Malullah,Delfina Foundation
Yazan Khalili,Delfina Foundation
Abbas Akhavan,Delfina Foundation (Dubai
Giuseppe Moscatello,della Sapienza
Balufu Bakupa Kanyinda,Democratic Republic
Moataz Nasr,Democratic Republic
Mouna Karray,Democratic Republic
Samiah Khashoggi,De Montfort College
Ahmad Ghossein,Denmark
Anri Sala,Denmark
Ayman Ramadan,Denmark
Jesper Just,Denmark
José Luis Martinat,Denmark
Larissa Sansour,Denmark
Melik Ohanian,Denmark
Nikolaj Bendix,Denmark
Olafur Eliasson,Denmark
Raeda Saadeh,Denmark
"Sille Storihle ",Denmark
"SUPERFLEX ",Denmark
Thilo Frank,Denmark
Walid Siti,Denmark
Wissam Shawkat,Denmark
Sama Alshaibi,Denmark & Helsinki
Ebtisam Abdulaziz,Denmark National Museum
Tintin Wulia,Denpasar
Adele Ne Jame,Denver
"Lúcia Koch ",Denver
Sama Alshaibi,Denver
Yang Fudong,Denver
Hatem Imam,Department of Architecture
Mai Al Ibrashy,Department of Architecture
Ala Ebtekar,Department of Art
Edgar Endress,Department of Art
Gulnara Kasmalieva,Department of Graphics
Muratbek Djumaliev,Department of Graphics
Samir Sayegh,"Department of the "
Jane & Louise Wilson,Derby
Yazid Oulab,des Abattoirs
Haris Epaminonda,Deste Foundation
Ayşe Erkmen,Detroit
Meriç Algün Ringborg,Detroit
Yusef A. Lateef,Detroit
Yusef A. Lateef,Detroit Symphony Orchestra
Ala Ebtekar,Deutsche Bank
Amar Kanwar,Deutsche Guggenheim
Matt Saunders,Deutsche Guggenheim
Raqs Media Collective,Devi Art Foundation
Jessica Mein,Dhabi
Manal Al Dowayan,Dhahran
Manal Dowayan,Dhahran
Firoz Mahmud,Dhaka
Naeem Mohaiemen,Dhaka
Runa Islam,Dhaka
Firoz Mahmud,Dhaka University
"Jean-Luc Moulène ",Dia
Ana Torfs,Dia Art Foundation
"Jean-Luc Moulène ",Dia Art Foundation
Liliana Porter,Dia Art Foundation
Ahmed Felemban,Dia Aziz Dia
Maha Al-Khalawi,Dia Aziz Dia
Shadi Ghadirian,DIFC
Fatima Al Qadiri,DIS Magazine
Yusef A. Lateef,Dizzy Gillespie Orchestra
Jem Cohen,DJ Rupture
Gulnara Kasmalieva,Djumaliev
Yuko Hasegawa,DNA
Alfredo Jaar,Documenta
Amar Kanwar,Documenta
"Apichatpong Weerasethakul ",Documenta
CAMP,Documenta
Cevdet Erek,Documenta
Gabriel Lester,Documenta
Jalal Toufic,Documenta
Lili Dujourie,Documenta
Mona Hatoum,Documenta
Pascale Marthine Tayou,Documenta
Ravi Agarwal,Documenta
Saâdane Afif,Documenta
Sheela Gowda,Documenta
Simryn Gill,Documenta
Walid Raad,Documenta
Wang Jianwei,Documenta
Yang Fudong,Documenta
Yu-ichi Inoue,Documenta
Adel Abidin,Doha
Ahmed Alsoudani,Doha
Golnaz Fathi,Doha
Khalil Rabah,Doha
Lamia Joreige,Doha
Manal Al Dowayan,Doha
Noha Faoud Al-Ghalib,Doha
Sophia Al Maria,Doha
Susan Hefuna,Doha
Wafaa Bilal,Doha
Zineb Sedira,Doha
Alfredo Aquilizan,Dojima River
Isabel Aquilizan,Dojima River
Yusef A. Lateef,Donald Byrd
YOVO! YOVO!,Doris Margarete
Naeem Mohaiemen,Doug Ashford
Mark Lombardi,Drawing Center
Susan Hefuna,Drawing Center
Nika Oblak,Dresden
Primož Novak,Dresden
Abdulhalim Radwi,Dubai
Ala Ebtekar,Dubai
Ammar Al Attar,Dubai
Arefeh Riahi,Dubai
Ayman Yossri Daydban,Dubai
Baseem Al Sharqi,Dubai
Ebtisam Abdulaziz,Dubai
Edward Said,Dubai
Farshid Maleki,Dubai
Fatima Al Qadiri,Dubai
Golnaz Fathi,Dubai
Haig Aivazian,Dubai
Hassan Sharif,Dubai
Hesam Rahmanian,Dubai
Idris Khan,Dubai
Iman Raad,Dubai
Jessica Mein,Dubai
Lamya Gargash,Dubai
Lara Baladi,Dubai
Larissa Sansour,Dubai
Leila Pazooki,Dubai
Lulwah Al-Homoud,Dubai
Mahdi Al Jeraibi,Dubai
Manal Al Dowayan,Dubai
Mohammed Kazem,Dubai
Nadia Ayari,Dubai
Naeem Mohaiemen,Dubai
Pouran-Jinchi,Dubai
Ramin Haerizadeh,Dubai
Reem Al Ghaith,Dubai
Reza Aramesh,Dubai
Rokni Haerizadeh,Dubai
Sama Alshaibi,Dubai
Samah Hijawi,Dubai
Sara Naim,Dubai
Shadi Ghadirian,Dubai
Sophie Ernst,Dubai
Susan Hefuna,Dubai
Wissam Shawkat,Dubai
Yazid Oulab,Dubai
Youssef Abdelkė,Dubai
Ammar Al Attar,Dubai Culture and Arts Authority
Keith Shiri,Dubai International Film Festival
Khaled Jarrar,Dubai International Film Festival
Amina Menia,Dublin
Elizabeth Peyton,Dublin
Heman Chong,Dublin
Iman Issa,Dublin
Luz Maria Bedoya,Dublin
Shahzia Sikander,Dublin
Tom Molloy,Dublin
Jessica Mein,Duke University
Jane & Louise Wilson,Dundee
Lili Dujourie,Dundee Contemporary Arts Centre
Marie-Hélène Cauvin,Durban
Idris Khan,Dusseldorf
Ana Torfs,Düsseldorf
Andreas Gursky,Düsseldorf
Driss Ouadahi,Düsseldorf
Hiroyuki Masuyama,Düsseldorf
Karin Sander,Düsseldorf
Marcel Odenbach,Düsseldorf
Mona Marzouk,Düsseldorf
mounir fatmi,Düsseldorf
Antonio Jose Guzman,Dutch
Manal Dowayan,Dutch
Shalima Sharbatli,Dutch
Nida Sinnokrot,Eastern Art
Mahmoud Refat,Eastern Music
Mahmoud Refat,Eastern Sonic
Basma Al Sharif,East Film
Bill Meyers,East Germany
The Ministry for State Security (Ministerium für Staatssicherheit),East Germany
Rula Halawani,East Jerusalem
"Basir Mahmood ",East Lansing
Alberto Duman,East London
Rasheed Araeen,East London University
Meriç Algün Ringborg,EC
Saloua Raouda Choucair,École des Beaux-Arts
Faisal Samra,Ecole National
Neda Razavipour,Ecole National
YOVO! YOVO!,École Nationale des Arts Décoratifs
Abdelkader Benchamma,École Supérieure des Beaux Arts de Paris
