Source,Target
Raana-Farnoud,1971
Rika Noguchi,1971
Wael Shawky,1971
Yang Fudong,1971
Yto Barrada,1971
Yuk King Tan,1971
Zaman M Jassim,1971
Žilnik Želimir,1971
Ante Zaninović,1972
Eva Meyer-Keller,1972
Fahd Al-Khalif,1972
Fayçal Baghriche,1972
Gabriel Lester,1972
Haytham el Wardany,1972
Lamia Joreige,1972
Laurent Grasso,1972
Liu Wei,1972
Melissa Chimera,1972
mentalKLINIK,1972
Nevin Aladag,1972
Rimini Protokoll,1972
Sulayman Al Bassam,1972
Tintin Wulia,1972
Youssef Nabil,1972
Zanny Begg,1972
Lili Dujourie,1972-1981
Abdulhalim Radwi,1973
Abdullah Hammas,1973
Adel Abidin,1973
Ahmad Morshedloo,1973
Hrair Sarkissian,1973
Lara Favaretto,1973
Larissa Sansour,1973
Liliana Porter,1973
Manal Al Dowayan,1973
Manal Dowayan,1973
Michael Rakowitz,1973
Musaed Alhulis,1973
Nevin Aladag,1973
Nika Oblak,1973
Nil Yalter,1973
Primož Novak,1973
Saddek Wasil,1973
Sama Alshaibi,1973
Zbyněk Baladrán,1973
Žilnik Želimir,1973
Abdulmajid Ali Al-Jarouf,1974
Anri Sala,1974
Bill Meyers,1974
CAMP,1974
Cevdet Erek,1974
Dirk Fleischmann,1974
Firoz Mahmud,1974
Hala Elkoussy,1974
Jamal Al Kebasi,1974
Jesper Just,1974
José Luis Martinat,1974
Latifa Echakhch,1974
Mahmoud Refat,1974
Mark Lombardi,1974
Nil Yalter,1974
Otobong Nkanga,1974
Samer Omran,1974
Shadi Ghadirian,1974
Sherin Guirguis,1974
Teboho Mahlatsi,1974
Wissam Shawkat,1974
Ali Al-Ruzaiza,1974-1979
Abdelkader Benchamma,1975
Abdullah Al-Mazrook,1975
Ahmed Alsoudani,1975
Andrés Denegri,1975
Ante Zaninović,1975
Ayman Baalbaki,1975
CAMP,1975
Erkka Nissinen,1975
Fateh Moudarres,1975
Fred Eerdekens,1975
Hassan Massoudy,1975
Jayce Salloum,1975
Jessica Mein,1975
Jun Yang,1975
Maider López,1975
Mohamed Ali Fadlabi,1975
Mona Hatoum,1975
Nika Oblak,1975
Primož Novak,1975
Raana-Farnoud,1975
Sara Ramo,1975
Shafic Abboud,1975
Sherif El Azma,1975
Tagreed Al-Bagshi,1975
Taha Al-Sabban,1975
Yonamine,1975
Younès Rahmoun,1975
Marcel Odenbach,1975-1983
Walid Sadek,1975-1990
Mona Hatoum,1975-79
Amina Menia,1976
"Angelica Mesiti ",1976
Baseem Al Sharqi,1976
Burak Arikan,1976
Dia Al-Azzawi,1976
Doa Aly,1976
Ibrahim Abumsmar,1976
Khaled Jarrar,1976
Maha Malluh,1976
Pablo Lobato,1976
Samira Badran,1976
Shilpa Gupta,1976
Taha Al-Sabban,1976
Walid Siti,1976
Zena el Khalil,1976
Ali Jabri,1977
Ayşe Erkmen,1977
"Basim Magdy ",1977
Dimi Mint Abba,1977
"Haroon Mirza ",1977
Heman Chong,1977
Javad Azimi,1977
Lani Maestro,1977
Leila Pazooki,1977
Mahmoud Bakhshi,1977
Mounir Al-Shaarani,1977
Muzamil Choudhury,1977
Noma Omran,1977
Oraib Toukan,1977
Raeda Saadeh,1977
Sahand Hesamiyan,1977
Ziad Dalloul,1977
Ala Ebtekar,1978
Alexandar Ugay,1978
Ali Jabri,1978
Anawana Haloba,1978
Ante Zaninović,1978
David Spriggs,1978
Djamel Kokene,1978
Eduard Puterbrot,1978
Idris Khan,1978
Ismaïl Bahri,1978
Khaled Sabsabi,1978
Lee Kit,1978
Mariam Ghani,1978
Mohamed Bourouissa,1978
Mounira Al Solh,1978
Nil Yalter,1978
Rasheed Araeen,1978
Seigen Ono,1978
Setareh Shahbazi,1978
Thilo Frank,1978
Waheeda Malullah,1978
Ziad Antar,1978
Abdulhalim Radwi,1979
Ahmed Foula,1979
Ahmed Mater,1979
Amir H. Fallah,1979
Arefeh Riahi,1979
Giuseppe Moscatello,1979
Hani Al Ghayhab,1979
Iman Issa,1979
Iman Raad,1979
João Vasco Paiva,1979
"Kamarstudios ",1979
Nil Yalter,1979
Panos Tsagaris,1979
Pascal Hachem,1979
Raed Yassin,1979
Safeya Binzagr,1979
Shahriar Ahmadi,1979
Sheela Gowda,1979
Shirin Neshat,1979
Wafa Hourani,1979
Mona Hatoum,1979-1981
Ayman Ramadan,1980
"Charwei Tsai ",1980
Faisal Samra,1980
Fateh Moudarres,1980
Haris Epaminonda,1980
Hassan Sharif,1980
Hesam Rahmanian,1980
Işıl Eğrikavuk,1980
Kassab Bachi,1980
Liliana Porter,1980
Mohamad Rahimi,1980
Noha Al-Sharif,1980
Saba Innab,1980
Shantia Zakerameli,1980
Simone Fattal,1980
Tarek Atoui,1980
Tarek Halaby,1980
Abdulhalim Radwi,1980-1992
Sheela Gowda,1980-82
Ammar Al Attar,1981
Eiman Elgibreen,1981
Eugenio Dittborn,1981
Fatima Al Qadiri,1981
Graziella Rizkallah Toufic,1981
Hayv Kahraman,1981
Kazuyo Sejima,1981
Moayad Hakim,1981
Mohamed El Mahdaoui,1981
Morteza Ahmadvand,1981
Nora Almazrooa,1981
Pouya Parsamagham,1981
Raeda Ashour,1981
Rania Moudaress,1981
Romeo Castellucci,1981
Simohammed Fettaka,1981
Talal Al-Zeid,1981
Yazan Khalili,1981
Abdelfattah Kilito,1982
Ahmad Konash,1982
David Douglas Duncan,1982
Eduard Puterbrot,1982
Fouad Elkoury,1982
Jonathas de Andrade,1982
Lamya Gargash,1982
Magdi Mostafa,1982
Maha Al-Khalawi,1982
Mohsen Ahmadvand,1982
Monika Börgmann,1982
Omar Khayyam,1982
Raafat Ishak,1982
Saloua Raouda Choucair,1982
Salwa Aleryani,1982
Shirin Neshat,1982
Simon Fujiwara,1982
Walid Siti,1982
Ante Zaninović,1983
Chai Siri,1983
Doug Henders,1983
Eugenio Dittborn,1983
Hu Xiangqian,1983
Meriç Algün Ringborg,1983
Mohamed Abdelkarim,1983
Noura Bouzo,1983
Shafic Abboud,1983
Shahrzad Changalvaee,1983
Taus Makhacheva,1983
Yang Shaobin,1983
Yousef Jaha,1983
YOVO! YOVO!,1983
Ana Vidigal,1984
Eduard Puterbrot,1984
Elnaz Farajollahi,1984
Eugenio Dittborn,1984
Farhad Moshiri,1984
Fouad Elkoury,1984
Fumito Urabe,1984
Hassan Sharif,1984
Nasir Nasrallah,1984
Nasser Al-Salem,1984
Nastaran Safaei,1984
Niyaz-Azadikhah,1984
Ramtin Zad,1984
Rasheed Araeen,1984
Saeed Salem,1984
Shiro Takatani,1984
Walid Siti,1984
YOVO! YOVO!,1984
Sheela Gowda,1984-86
Abdullah Al-Othman,1985
Agnes Janich,1985
Ali Al-Tokhais,1985
"Basir Mahmood ",1985
Eyad Maghazil,1985
Hasan and Husain Essop,1985
Jenine Sharabi,1985
Liliana Porter,1985
Reem Al Ghaith,1985
Setareh Shahbazi,1985
"Sille Storihle ",1985
Yazid Oulab,1985
Yu-ichi Inoue,1985
Jayce Salloum,1985-2005
Jayce Salloum,1985-2009
Fred Eerdekens,1985-2010
Ana Vidigal,1985-87
Alfredo Aquilizan,1986
Alfredo Jaar,1986
Fateh Moudarres,1986
Fred Eerdekens,1986
Isabel Aquilizan,1986
Marwa Rustam,1986
Monir Shahroudy Farmanfarmaian,1986
YOVO! YOVO!,1986
Zhang Hui,1986
Zineb Sedira,1986
Abbas Kiarostami,1987
Adele Ne Jame,1987
Alfredo Jaar,1987
Elizabeth Peyton,1987
Hiroyuki Masuyama,1987
Kazuyo Sejima,1987
Rasheed Araeen,1987
Sara Naim,1987
Seigen Ono,1987
Valeska Soares,1987
Wang Jianwei,1987
Yusef A. Lateef,1987
Abdulhalim Radwi,1988
Ahmed Tayseer Badrah,1988
Fred Eerdekens,1988
Halla Bint Khalid,1988
Hu Xiangqian,1988
Huda Beydoun,1988
Khaled Jarrar,1988
Lani Maestro,1988
"Lúcia Koch ",1988
Miki Kasahara,1988
Mohammed Makki,1988
Rula Halawani,1988
Shiro Takatani,1988
Soraya Darwish,1988
Yazid Oulab,1988
Zahra Bu Ali,1988
Abdelfattah Kilito,1989
Adele Ne Jame,1989
Ala Ebtekar,1989
Alfredo Jaar,1989
Anawana Haloba,1989
Ayreen Anastas,1989
Derek Ogbourne,1989
Jalal Toufic,1989
Jane & Louise Wilson,1989
Jenine Sharabi,1989
Karin Sander,1989
Leila Pazooki,1989
Mohammed Kamel,1989
mounir fatmi,1989
Nacera Belaza,1989
Rasheed Araeen,1989
Sarah Al Abdali,1989
Simone Fattal,1989
Valia Fetisov,1989
Mouna Karray,1989-1993
Adele Ne Jame,1990
Alfredo Jaar,1990
Ana Torfs,1990
Bae Young-whan,1990
Bijoy Jain,1990
Dimi Mint Abba,1990
Fred Eerdekens,1990
Kazuyo Sejima,1990
Mohammed Kazem,1990
Monika Börgmann,1990
Romeo Castellucci,1990
Shafic Abboud,1990
Shirin Neshat,1990
Thomas Demand,1990
Luc Sante,1990-2005
Lani Maestro,1990 -94
Ahaad Alamoudi,1991
Fouad Elkoury,1991
Jananne Al-Ani,1991
Luc Sante,1991
mounir fatmi,1991
Raeda Ashour,1991
Raqs Media Collective,1991
Thomas Werner,1991
Ziad Abillama,1991
Abbas Kiarostami,1992
Carsten Höller,1992
David Spriggs,1992
Jalal Toufic,1992
Jane & Louise Wilson,1992
Luc Sante,1992
N.S. Harsha,1992
Neda Razavipour,1992
Nouf Alhimiary,1992
Raqs Media Collective,1992
Romeo Castellucci,1992
Shimabuku,1992
Taha Al-Sabban,1992
Thomas Demand,1992
Yazid Oulab,1992
Youssef Nabil,1992
Yusef A. Lateef,1992
Luc Sante,1992-93
Abdullah Al Saadi,1993
Alan Bishop,1993
Basmah Felemban,1993
Derek Ogbourne,1993
Doris Bittar,1993
Eduard Puterbrot,1993
Fateh Moudarres,1993
Hans Haacke,1993
Jalal Toufic,1993
Jane & Louise Wilson,1993
Karim Aïnouz,1993
Marcel Schwierin,1993
Mona Hatoum,1993
Rasheed Araeen,1993
Rashid Masharawi,1993
"SUPERFLEX ",1993
Yusef A. Lateef,1993
Youssef Nabil,1993-1994
Samir Sayegh,1993-2007
Elena Kovylina,1993-95
Abbas Kiarostami,1994
Adel Abdessemed,1994
Alfredo Jaar,1994
"Apichatpong Weerasethakul ",1994
Emily Jacir,1994
Fateh Moudarres,1994
Fred Eerdekens,1994
Liliana Porter,1994
Luz Maria Bedoya,1994
Marcel Schwierin,1994
Mark Lombardi,1994
Mona Hatoum,1994
Rasheed Araeen,1994
Seigen Ono,1994
Shafic Abboud,1994
Sulayman Al Bassam,1994
Susan Hefuna,1994
Thomas Demand,1994
Valeska Soares,1994
Alfredo Jaar,1994-1998
Abdelfattah Kilito,1995
Adrian Paci,1995
Alfredo Jaar,1995
Bijoy Jain,1995
Derek Ogbourne,1995
Fateh Moudarres,1995
Hiroyuki Masuyama,1995
Jawad Al Malhi,1995
Jorge Tacla,1995
Karin Sander,1995
Kazuyo Sejima,1995
Lamia Joreige,1995
Mona Hatoum,1995
N.S. Harsha,1995
Ola Hejazi,1995
Olafur Eliasson,1995
Runa Islam,1995
Samer Omran,1995
Shahzia Sikander,1995
Wang Jianwei,1995
Yang Fudong,1995
Youssef Abdelkė,1995
Doris Bittar,1995-96
Abdelfattah Kilito,1996
Adele Ne Jame,1996
Alberto Duman,1996
Ayreen Anastas,1996
Derek Ogbourne,1996
Jananne Al-Ani,1996
Jane & Louise Wilson,1996
Karim Aïnouz,1996
Khaled Jarrar,1996
Liliana Porter,1996
Liu Wei,1996
Mona Hatoum,1996
Mona Marzouk,1996
Rasheed Araeen,1996
Rashid Masharawi,1996
Ryoji Ikeda,1996
Sulayman Al Bassam,1996
Wissam Shawkat,1996
Yang Shaobin,1996
Noma Omran,1996-7
Elena Kovylina,1996-98
Abbas Kiarostami,1997
Adrian Paci,1997
Akram Zaatari,1997
Alfredo Aquilizan,1997
Alfredo Jaar,1997
Ali Essafi,1997
"Apichatpong Weerasethakul ",1997
Carlos  Amorales,1997
Fouad Elkoury,1997
Hend Al-Mansour,1997
Isabel Aquilizan,1997
Jananne Al-Ani,1997
"Joana Hadjithomas ",1997
Karim Aïnouz,1997
Karin Sander,1997
Kazuyo Sejima,1997
Khaled Hourani,1997
Khalil Joreige,1997
Lani Maestro,1997
Lara Baladi,1997
Lara Favaretto,1997
Latifa Echakhch,1997
Luc Sante,1997
Mark Lombardi,1997
Mona Hatoum,1997
Nida Sinnokrot,1997
Rasheed Araeen,1997
Reza Aramesh,1997
Romeo Castellucci,1997
Shahzia Sikander,1997
Sherin Guirguis,1997
Shilpa Gupta,1997
Teboho Mahlatsi,1997
Walid Raad,1997
Wang Jianwei,1997
Ziad Dalloul,1997
Youssef Nabil,1997-1998
Mouna Karray,1997-2002
Steve Reinke,1997-2005
"Joana Hadjithomas ",1997-2006
Khalil Joreige,1997-2006
Ahmed El Attar,1998
Alfredo Jaar,1998
Ali Essafi,1998
Anri Sala,1998
Ayşe Erkmen,1998
Bita Fayyazi,1998
David Spriggs,1998
Doris Bittar,1998
Jananne Al-Ani,1998
Kazuyo Sejima,1998
Khaled Hourani,1998
Lara Favaretto,1998
Luc Sante,1998
Maider López,1998
Mark Lombardi,1998
Marwan Rechmaoui,1998
mentalKLINIK,1998
Mounir Al-Shaarani,1998
Neda Razavipour,1998
Rasheed Araeen,1998
Romeo Castellucci,1998
Runa Islam,1998
Ryoji Ikeda,1998
Shinichiro Ogata,1998
Susan Hefuna,1998
Tarek Atoui,1998
Thomas Werner,1998
Tintin Wulia,1998
Younès Rahmoun,1998
Elena Kovylina,1998-1999
Abbas Kiarostami,1999
Abdelfattah Kilito,1999
Adrian Paci,1999
Alfredo Aquilizan,1999
Ana Vidigal,1999
"Apichatpong Weerasethakul ",1999
Ayreen Anastas,1999
David Spriggs,1999
Fahd Al-Hijilan,1999
Firoz Mahmud,1999
Gilbert Hage,1999
Guillaume Cassar,1999
Isabel Aquilizan,1999
Jane & Louise Wilson,1999
Jayce Salloum,1999
"Kamarstudios ",1999
Lani Maestro,1999
Lara Favaretto,1999
Latifa Echakhch,1999
Liliana Porter,1999
Luc Sante,1999
Maider López,1999
Mona Hatoum,1999
Muhamad Haider,1999
Nikolaj Bendix,1999
Noha Faoud Al-Ghalib,1999
Pablo Lobato,1999
Rania Stephan,1999
Sahand Hesamiyan,1999
Shadia Alem,1999
Shahzia Sikander,1999
Shiro Takatani,1999
"SUPERFLEX ",1999
Taysir Batniji,1999
Teboho Mahlatsi,1999
Walid Raad,1999
Yang Shaobin,1999
Youssef Nabil,1999
Yuko Hasegawa,1999
Simryn Gill,1999 -2000
Muhamad Haider,1999-2001
Abdullah Al-Mazrook,2000
Ahmed El Attar,2000
Alexander Markov,2000
Alfredo Jaar,2000
Ana Torfs,2000
"Apichatpong Weerasethakul ",2000
"Basim Magdy ",2000
Carsten Höller,2000
Claudia Joskowicz,2000
David Spriggs,2000
Djamel Kokene,2000
Eduard Puterbrot,2000
Gabriel Lester,2000
Hans Haacke,2000
Hend Al-Mansour,2000
Jalal Toufic,2000
Jane & Louise Wilson,2000
Jawad Al Malhi,2000
Jem Cohen,2000
"Joana Hadjithomas ",2000
Karin Sander,2000
Kazuyo Sejima,2000
Khalil Joreige,2000
Lani Maestro,2000
Larissa Sansour,2000
"Lúcia Koch ",2000
Mahmoud Refat,2000
Mariam Ghani,2000
Mark Lombardi,2000
Mona Hatoum,2000
Nevin Aladag,2000
Nida Sinnokrot,2000
Raeda Saadeh,2000
Raffie Davtian,2000
Raqs Media Collective,2000
Rimini Protokoll,2000
Rosalind Nashashibi,2000
Ryoji Ikeda,2000
Safeya Binzagr,2000
Saud Al-Duribi,2000
Seigen Ono,2000
Shadi Ghadirian,2000
Shahzia Sikander,2000
Shimabuku,2000
Shohreh Mehran,2000
Sophie Ernst,2000
Steve Reinke,2000
"SUPERFLEX ",2000
Susan Hefuna,2000
Tiffany Chung,2000
Lili Dujourie,2000-01
Adel Abdessemed,2001
Adel Abidin,2001
Adila Laidi-Hanieh,2001
Adrian Paci,2001
Ahmad Morshedloo,2001
Akram Zaatari,2001
Ali Essafi,2001
Amina Menia,2001
Edgar Endress,2001
Elnaz Farajollahi,2001
Firoz Mahmud,2001
Fouad Elkoury,2001
Giuseppe Moscatello,2001
Heman Chong,2001
Hiroyuki Masuyama,2001
Imran Qureshi,2001
Jayce Salloum,2001
Karin Sander,2001
Lani Maestro,2001
Lara Favaretto,2001
Marwan Rechmaoui,2001
Moataz Nasr,2001
Monika Börgmann,2001
Mouna Karray,2001
Mounir Al-Shaarani,2001
Nacera Belaza,2001
Nastaran Safaei,2001
Nida Sinnokrot,2001
Nikolaj Bendix,2001
Noma Omran,2001
Ola Hejazi,2001
Otobong Nkanga,2001
Rasheed Araeen,2001
Rashid Masharawi,2001
Romeo Castellucci,2001
Ryoji Ikeda,2001
Sherif El Azma,2001
Sherin Guirguis,2001
Shilpa Gupta,2001
Shiro Takatani,2001
Simryn Gill,2001
"SUPERFLEX ",2001
Susan Hefuna,2001
Tagreed Al-Bagshi,2001
Taysir Batniji,2001
Theo Eshetu,2001
Youssef Abdelkė,2001
Yuko Hasegawa,2001
Ziad Antar,2001
Elena Kovylina,2001-03
José Luis Martinat,2001-03
Ayşe Erkmen,2001-2005
Abdelfattah Kilito,2002
Abdullah Al Saadi,2002
Abdulrahman Soliman,2002
Adrian Paci,2002
Aisha Khalid,2002
Ala Ebtekar,2002
Alfredo Aquilizan,2002
Alfredo Jaar,2002
Ali Essafi,2002
Ali Jabri,2002
Amar Kanwar,2002
Amir H. Fallah,2002
Ayreen Anastas,2002
Ayşe Erkmen,2002
Bahman Kiarostami,2002
Dirk Fleischmann,2002
Djamel Kokene,2002
Eva Meyer-Keller,2002
Eyad Maghazil,2002
Fernando José Pereira,2002
Firoz Mahmud,2002
Fred Eerdekens,2002
Gabriel Lester,2002
Gilbert Hage,2002
Giuseppe Moscatello,2002
Haris Epaminonda,2002
Hend Al-Mansour,2002
Isabel Aquilizan,2002
Karim Aïnouz,2002
Latifa Echakhch,2002
Mariam Ghani,2002
Marilou Lemmens,2002
Michael Rakowitz,2002
Milica Tomić,2002
Mohamed Bourouissa,2002
Mona Hatoum,2002
Mouna Karray,2002
Muhamad Haider,2002
Nida Sinnokrot,2002
Nika Oblak,2002
Ola Hejazi,2002
Omar Rajeh,2002
Pablo Lobato,2002
Pascal Hachem,2002
Pascale Marthine Tayou,2002
Primož Novak,2002
Rashid Masharawi,2002
Ravi Agarwal,2002
Richard Ibghy,2002
Rula Halawani,2002
Shahriar Ahmadi,2002
Sharif Waked,2002
Simryn Gill,2002
Sulayman Al Bassam,2002
Susan Hefuna,2002
Theo Eshetu,2002
Waheeda Malullah,2002
Walid Raad,2002
Wang Jianwei,2002
Wissam Shawkat,2002
Yang Fudong,2002
Yuk King Tan,2002
Yuko Hasegawa,2002
Zena el Khalil,2002
Lara Favaretto,2002-03
Mariam Ghani,2002-07
Rashid Masharawi,2002-2003
Suzanne Cotter,2002-2009
Abdelkader Benchamma,2003
Abdullah Al Saadi,2003
Abdullah Idrees,2003
Abdulmajid Ali Al-Jarouf,2003
Adrian Paci,2003
Akram Zaatari,2003
Alan Bishop,2003
Alexander Markov,2003
Alfredo Aquilizan,2003
Ammar Bouras,2003
Ana Vidigal,2003
Ayreen Anastas,2003
Bae Young-whan,2003
Bahman Kiarostami,2003
Carlos  Amorales,2003
Carsten Höller,2003
Cevdet Erek,2003
Fayçal Baghriche,2003
Fouad Elkoury,2003
Gilbert Hage,2003
Giuseppe Moscatello,2003
Hani Al Ghayhab,2003
Haris Epaminonda,2003
Heman Chong,2003
Isabel Aquilizan,2003
Jalal Toufic,2003
Jayce Salloum,2003
"Jean-Luc Moulène ",2003
"Joana Hadjithomas ",2003
Kazuyo Sejima,2003
Khaled Sabsabi,2003
Khalil Joreige,2003
Lamia Joreige,2003
"Lúcia Koch ",2003
Maha Maamoun,2003
Marcel Odenbach,2003
Marcel Schwierin,2003
Marie-Hélène Cauvin,2003
Mark Lombardi,2003
Michael Rakowitz,2003
Moataz Nasr,2003
Mustapha Benfodil,2003
N.S. Harsha,2003
Nacera Belaza,2003
Olafur Eliasson,2003
Otobong Nkanga,2003
Rania Stephan,2003
Rashid Masharawi,2003
Ravi Agarwal,2003
Rika Noguchi,2003
Rula Halawani,2003
Saâdane Afif,2003
Setareh Shahbazi,2003
Shahzia Sikander,2003
Sharif Waked,2003
Shimabuku,2003
Shinichiro Ogata,2003
Sophie Ernst,2003
Susan Hefuna,2003
Taysir Batniji,2003
Thomas Demand,2003
Walid Raad,2003
Wang Jianwei,2003
Yang Fudong,2003
Yazan Khalili,2003
Youssef Nabil,2003
Yto Barrada,2003
Yuko Hasegawa,2003
Ziad Antar,2003
Jane & Louise Wilson,2003-04
Nida Sinnokrot,2003-06
Zineb Sedira,2003-2004
Bakr Sheikhoon,2003 two
Abdullah Al Saadi,2004
Abdulmajid Ali Al-Jarouf,2004
Adel Abidin,2004
Adrian Paci,2004
Ahmad Ghossein,2004
Ahmed El Attar,2004
Alfredo Aquilizan,2004
Ana Torfs,2004
Angela Harutyunyan,2004
Ayreen Anastas,2004
Bae Young-whan,2004
Bahman Kiarostami,2004
"Basim Magdy ",2004
Basma Al Sharif,2004
Carsten Höller,2004
Gabriel Lester,2004
Gilbert Hage,2004
Hala Elkoussy,2004
Hamra Abbas,2004
Heman Chong,2004
Hrair Sarkissian,2004
Huda Totonji,2004
Idris Khan,2004
Iman Issa,2004
Isabel Aquilizan,2004
Jane & Louise Wilson,2004
"Jean-Luc Moulène ",2004
Jem Cohen,2004
Karim Aïnouz,2004
Kazuyo Sejima,2004
Khaled Sabsabi,2004
Lamya Gargash,2004
Lani Maestro,2004
Lara Favaretto,2004
Magdi Mostafa,2004
Maha Maamoun,2004
Mahmoud Refat,2004
Mariam Ghani,2004
Mario Rizzi,2004
Marwan Rechmaoui,2004
Moataz Nasr,2004
Mohamed Bourouissa,2004
Mona Hatoum,2004
Monika Börgmann,2004
Mouna Karray,2004
Mounir Al-Shaarani,2004
Murtaza Vali,2004
Nargess Hashemi,2004
Nastaran Safaei,2004
Nevin Aladag,2004
Nikolaj Bendix,2004
Noha Al-Sharif,2004
Pascale Marthine Tayou,2004
Ramin Haerizadeh,2004
Raqs Media Collective,2004
Rika Noguchi,2004
Rula Halawani,2004
Saba Innab,2004
Setareh Shahbazi,2004
Shadia Alem,2004
Simryn Gill,2004
Solange Farkas,2004
Sophie Ernst,2004
Susan Hefuna,2004
Tarek Halaby,2004
Theo Eshetu,2004
Thomas Demand,2004
Wang Jianwei,2004
Yang Shaobin,2004
Yonamine,2004
Yousef Jaha,2004
Yto Barrada,2004
Yuk King Tan,2004
Yuko Hasegawa,2004
Zhang Hui,2004
Ziad Antar,2004
Zineb Sedira,2004
Susan Hefuna,2004/2005
Khaled Hourani,2004-06
José Luis Martinat,2004-07
Keith Shiri,2004-2007
Abbas Kiarostami,2005
Abdullah Al Saadi,2005
Adel Abidin,2005
Ahmed El Attar,2005
Akram Zaatari,2005
Alberto Duman,2005
Alexander Markov,2005
Alfredo Jaar,2005
Amir H. Fallah,2005
Artur Żmijewski,2005
Ayman Mahawi,2005
Ayreen Anastas,2005
Ayşe Erkmen,2005
