Id,type
Valeska Soares,Person
Valia Fetisov,Person
Van Beeldende,Person
Van Beuningen,Person
Van Leo,Person
Vartan Avakian,Person
Vic Chesnutt,Person
Vijay Prashad,Person
Vincenz Sala,Person
Vinny Golia,Person
Vishwa Bharati,Person
Vitoria-Gasteiz,Person
Wael Shawky,Person
Wafa Al-Mihdar,Person
Wafa Hourani,Person
Wafa Karsha,Person
Wafaa Bilal,Person
Waheeda Malullah,Person
Waleed Alzuhair,Person
Walid Raad,Person
Walid Sadek,Person
Walid Siti,Person
Walker Evans,Person
Wang Jianwei,Person
Wendi Norris,Person
"What, How & for Whom",Person
Will Al Jeraibi,Person
Will Carry Us,Person
William Emanuel Huddleston,Person
William Shakespeare,Person
William Turner,Person
Wim Wenders,Person
Winter Video-,Person
Wissam Shawkat,Person
X Blind,Person
X El,Person
Yamuna-Elbe,Person
Yang Fudong,Person
Yang Shaobin,Person
Yazan Khalili,Person
Yazid Oulab,Person
Yonamine,Person
Younès Rahmoun,Person
Yousef Jaha,Person
Youssef Abdelkė,Person
Youssef Nabil,Person
YOVO! YOVO!,Person
Yto Barrada,Person
YU-ICHI Calligraphien,Person
Yu-ichi Inoue,Person
Yuk King Tan,Person
Yuko Hasegawa,Person
Yusef A. Lateef,Person
Yusef Lateef,Person
Zahra Bu Ali,Person
Zaina Zahid,Person
Zaman M Jassim,Person
Zanny Begg,Person
Zbyněk Baladrán,Person
Zena el Khalil,Person
Zhang Hui,Person
Ziad Abillama,Person
Ziad Antar,Person
Ziad Dalloul,Person
Zineb Sedira,Person
Érik Bullot,Person
Žilnik Želimir,Person
Abdulnasser Gharem,Person
Erin Ellen Kelly,Person
"Jumana Manna ",Person
Marcelino Botín,Person
"Matthew Barney ",Person
René Gabri,Person
Francis  Alÿs,Person
Halil Altındere,Person
