target,source,group,long,lat
Ghana,Amino Belyamani,1,-1.023194,7.946527
Ghazir,Daoud Corm,1,35.66289,34.01858
Gibraltar,Yto Barrada,1,-5.353585,36.14075
Glasgow,Saâdane Afif,1,-4.251806,55.86424
Glasgow,Taha Al-Sabban,1,-4.251806,55.86424
Glasgow,Meriç Algün Ringborg ,1,-4.251806,55.86424
Glasgow School of Art,Rosalind Nashashibi,2,NA,NA
Global Art Forum,Murtaza Vali,2,NA,NA
"Goldsmiths, University of London",Yazan Khalili,2,NA,NA
"Goldsmiths, University of London",Sophia Al Maria,2,NA,NA
"Goldsmiths, University of London",Lawrence Abu Hamdan ,2,NA,NA
"Goldsmiths, University of London",Haroon Mirza ,2,NA,NA
"Goldsmiths, University of London",Hafidh al-Droubi,2,NA,NA
"Goldsmiths, University of London",Atta Sabri,2,NA,NA
"Goldsmiths, University of London",Hala Elkoussy,2,NA,NA
"Goldsmiths, University of London",Reza Aramesh,2,NA,NA
Google,Bob Landry,2,NA,NA
Gothenburg,Moataz Nasr,1,11.97456,57.70887
Gothenburg,Hala Elkoussy,1,11.97456,57.70887
Governors Island,Mariam Ghani,1,-74.01679,40.68945
Grasse,Simone Fattal,1,6.926492,43.66015
Graz,Khaled Jarrar,1,15.4395,47.07071
Graz,Mona Marzouk,1,15.4395,47.07071
Great Britain,Ninar Esber,1,-3.435973,55.37805
Greco,Shafic Abboud,3,NA,NA
Greece,Jalal Toufic,1,21.82431,39.07421
Greece,Rasheed Araeen,1,21.82431,39.07421
Greece,Shahpour Pouyan,1,21.82431,39.07421
Greece,Marwan Sahmarani,1,21.82431,39.07421
Greece,Samah Hijawi,1,21.82431,39.07421
Greece,Ammar Al Attar,1,21.82431,39.07421
Greece,Sama Alshaibi,1,21.82431,39.07421
Greece,Jenine Sharabi,1,21.82431,39.07421
Greece,Mohamed Abdelkarim,1,21.82431,39.07421
Greece,Hrair Sarkissian,1,21.82431,39.07421
Greece,Moataz Nasr,1,21.82431,39.07421
Green Cardamom,Nadia Kaabi-Linke,2,NA,NA
Greenbox Museum,Ayman Yossri Daydban,2,NA,NA
Grenoble,Farid Belkahia,1,5.724524,45.18853
Grenoble,Latifa Echakhch,1,5.724524,45.18853
Grenoble,Adel Abdessemed,1,5.724524,45.18853
Group of Contemporary Art,Hamed Nada,2,NA,NA
Group of Modern Art,Gamal el-Sigini,2,NA,NA
Group of Modern Art,Hamed Owais,2,NA,NA
Guangzhou,Leila Pazooki,1,113.2644,23.12911
Guangzhou,Doa Aly,1,113.2644,23.12911
Guangzhou,Larissa Sansour,1,113.2644,23.12911
Guggenheim,Walid Raad,2,NA,NA
Guild Art Gallery,Mounira Al Solh,2,NA,NA
Guild Art Gallery,Raed Yassin,2,NA,NA
Gwangiu Museum of Art,Adel Abidin,2,NA,NA
Gwangju Biennale,CAMP,2,NA,NA
Gwangju Biennale,Mona Marzouk,2,NA,NA
Gwangju Biennale,mounir fatmi,2,NA,NA
Gwangju Biennale,Rasheed Araeen,2,NA,NA
Gwangju Biennale,Sophia Al Maria,2,NA,NA
Gwangju Biennale,Iman Issa,2,NA,NA
Gwangju Biennale,Rabih Mroué,2,NA,NA
Gwangju Design,Fatima Al Qadiri,2,NA,NA
Hagen,Susan Hefuna,1,7.463284,51.36708
Haifa University,Sharif Waked,2,NA,NA
Hail,Awadh Al-Hamzani,1,41.68333,27.51667
Halle,Haroon Mirza ,1,11.9688,51.49698
Hamadan,Amirhossein Radaie,1,48.51667,34.8
Hamburg,Marwa Rustam,1,9.993682,53.55108
Hamburg,Akram Zaatari,1,9.993682,53.55108
Hamburg,Jalal Toufic,1,9.993682,53.55108
Hamburg,Mona Hatoum,1,9.993682,53.55108
Hamburg,Susan Hefuna,1,9.993682,53.55108
Hamburg,YOVO! YOVO!,1,9.993682,53.55108
Hamburg,Setareh Shahbazi,1,9.993682,53.55108
Hamburg,Nabil Nahas,1,9.993682,53.55108
Hamburger Kunsthalle,Mona Hatoum,2,NA,NA
Hammer Museum,Latifa Echakhch,2,NA,NA
Hammer Museum,Runa Islam,2,NA,NA
Hammer Museum,Wael Shawky,2,NA,NA
Harraniyya,Adam Henein,1,NA,NA
Harris,Imran Qureshi,1,-95.31025,29.77518
Harris,Matt Saunders,1,-95.31025,29.77518
Hartley,Yusef A. Lateef,1,150.1752,-33.54456
Harvard Business School,Noura Bouzo,2,NA,NA
Harvard Business School,Abdul Ghafur Sheikh,2,NA,NA
Harvard University,Rashid Masharawi,2,NA,NA
Harvard University,Wafaa Bilal,2,NA,NA
Harvard University,Lamia Joreige,2,NA,NA
Harvard University,Abdelfattah Kilito,2,NA,NA
Haus Der Kunst,Mounira Al Solh,2,NA,NA
Haus Der Kunst,Doa Aly,2,NA,NA
Hauser & Wirth Gallery,Adel Abidin,2,NA,NA
Havana,Samira Badran,1,-82.27106,23.15917
Havana,Adel Abdessemed,1,-82.27106,23.15917
Havana,Rasheed Araeen,1,-82.27106,23.15917
Havana Biennial,Jayce Salloum,2,NA,NA
Havana Biennial,Taysir Batniji,2,NA,NA
Havana Biennial,Mona Marzouk,2,NA,NA
Hayward,Rasheed Araeen,1,-122.0808,37.66882
Hayward,Nevin Aladag,1,-122.0808,37.66882
Heath,Amino Belyamani,1,-96.47499,32.83651
Hebron,Wafa Hourani,1,35.09983,31.53257
Hebron,Khaled Jarrar,1,35.09983,31.53257
Heidelberg,Adel Abdessemed,1,8.672434,49.39875
Heidelberg,Susan Hefuna,1,8.672434,49.39875
Heidelberg,Derek Ogbourne,1,8.672434,49.39875
Helsinki,Mohamed Bourouissa,1,24.94102,60.17332
Helsinki,Adel Abidin,1,24.94102,60.17332
Helsinki,Idris Khan,1,24.94102,60.17332
Helsinki Art Museum,Hasan and Husain Essop,2,NA,NA
Helsinki KIASMA Museum of Contemporary Art,Adel Abidin,2,NA,NA
Helwan University,Magdi Mostafa,2,NA,NA
Helwan University,Basim Magdy ,2,NA,NA
Helwan University,Mohamed Abdelkarim,2,NA,NA
Helwan University,Ibrahim Abumsmar,2,NA,NA
Helwan University,Moayad Hakim,2,NA,NA
Her George Mason University,Huda Totonji,2,NA,NA
Hermes,N.S. Harsha,2,NA,NA
Hesign Publishing & Design,Iman Raad,2,NA,NA
Higher Institute of Drama,Rania Moudaress,2,NA,NA
Higher Institute of Dramatic Arts,Samer Omran,2,NA,NA
Higher Institute of Music,Noma Omran,2,NA,NA
Highway,CAMP,1,-88.3335,37.01878
Highway,N.S. Harsha,1,-88.3335,37.01878
Highway,Amar Kanwar,1,-88.3335,37.01878
Hijaz,Safeya Binzagr,1,-1.917618,34.67298
Hiroshima,Larissa Sansour,1,132.4553,34.3852
Hirshhorn Museum,Shahzia Sikander,2,NA,NA
His Abduction Records,Alan Bishop,2,NA,NA
Hochschule der Künste,Kassab Bachi,2,NA,NA
Hochschule für bildende Künste,YOVO! YOVO!,2,NA,NA
Hollywood,Ninar Esber,1,-118.3287,34.09281
Holy City,Ashkan Sepahvand,1,-109.5721,44.46356
Hong Kong,Leila Pazooki,1,114.1095,22.39643
Hong Kong,Raqs Media Collective,1,114.1095,22.39643
Hong-Gah Museum,Basir Mahmood ,2,NA,NA
Houston,Adel Abidin,1,-95.3698,29.76043
Houston,Tarek Al-Ghoussein,1,-95.3698,29.76043
Houston,Pouran-Jinchi,1,-95.3698,29.76043
Hungary,Gilbert Hage,1,19.5033,47.16249
Hungary,Pantea Rahmani,1,19.5033,47.16249
Hyderabad,Shahpour Pouyan,1,78.48667,17.38504
Ian Potter Museum of Art,Raafat Ishak,2,NA,NA
