source,group,target,lat,long
Abdulnasser Gharem&apos;s,1,Abha,42.5043596,18.2164282
Abdulnasser Gharem&apos;s,1,Khamis,31.095833,31.4625
Abdulnasser Gharem&apos;s,1,Middle East,34.9773963,32.1862164
Abdulnasser Gharem&apos;s,1,Saudi Arabia,42.3528328,25.6242618
Abdulnasser Gharem&apos;s,1,Sharjah,55.7954410161,25.21749685
Adam Henein,1,Alexandria,29.8943785,31.1990035
Adam Henein,1,Amsterdam,4.8979956034,52.374436
Adam Henein,1,Cairo,31.2436663,30.0488185
Adam Henein,1,Doha,51.5759155776,25.34403115
Adam Henein,1,Egypt,29.2675469,26.2540493
Adam Henein,1,Harraniyya,,
Adam Henein,1,London,-0.1276474,51.5073219
Adam Henein,1,Luxor,32.6471859,25.7020955
Adam Henein,1,Munich,11.5754815,48.1372719
Adam Henein,1,Paris,2.3521334,48.8565056
Adam Henein,1,Rome,12.4830718,41.8933439
Adeel Uz Zafar,1,Karachi,67.0311286,24.8667795
Adeel Uz Zafar,1,Lahore,74.3228517,31.5621916
Adeel Uz Zafar,1,NY,-75.8449946,43.1561681
Adeel Uz Zafar,1,Pakistan,71.247499,30.3308401
Adeel Uz Zafar,1,Paris,2.3521334,48.8565056
Adeel Uz Zafar,1,Singapore,103.852038,1.2904527
Adel Abdessemed,1,Algeria,2.9999825,28.0000272
Adel Abdessemed,1,Algiers,2.9999825,28.0000272
Adel Abdessemed,1,Batna,6.1767453,35.554404
Adel Abdessemed,1,Constantine,6.6082602,36.364517
Adel Abdessemed,1,Geneva,6.1466014,46.2017559
Adel Abdessemed,1,Grenoble,5.7210773,45.182478
Adel Abdessemed,1,Havana,-82.3658562,23.1379911
Adel Abdessemed,1,Heidelberg,8.6948125,49.4093608
Adel Abdessemed,1,Istanbul,28.9651646,41.0096334
Adel Abdessemed,1,London,-0.1276474,51.5073219
Adel Abdessemed,1,Lyon,4.8323239,45.7575926
Adel Abdessemed,1,New York,-73.9865812,40.7305991
Adel Abdessemed,1,San Francisco,-122.4629897,37.7647993
Adel Abdessemed,1,Sydney,151.2164539,-33.8548157
Adel Abdessemed,1,Tirana,19.8185323,41.3279457
Adel Abdessemed,1,Venice,12.3345899,45.4371908
Adel Abdessemed,1,Yokohama,139.5721963,35.4555922
Adel Abidin,1,Amman,36.321853777,31.6586023
Adel Abidin,1,Australia,134.755,-24.7761086
Adel Abidin,1,Baghdad,44.3787992,33.3024248
Adel Abidin,1,Bosnia,22.1288889,49.6786111
Adel Abidin,1,Box,0.4235743,42.5977707
Adel Abidin,1,Brussels,4.3672016945,50.84404145
Adel Abidin,1,Doha,51.5759155776,25.34403115
Adel Abidin,1,Finland,25.9209164,63.2467777
Adel Abidin,1,Helsinki,24.9435079,60.1666277
Adel Abidin,1,Houston,-95.5266841059,29.974291
Adel Abidin,1,Japan,139.2394179,36.5748441
Adel Abidin,1,Kuwait,47.4979476,29.2733964
Adel Abidin,1,London,-0.1276474,51.5073219
Adel Abidin,1,Melbourne,144.9631608,-37.8142176
Adel Abidin,1,Middle East,34.9773963,32.1862164
Adel Abidin,1,New York,-73.9865812,40.7305991
Adel Abidin,1,New York City,-73.9865812,40.7305991
Adel Abidin,1,Normandy,-90.2973359,38.7208842
Adel Abidin,1,North Africa,-2.227736,13.4526455
Adel Abidin,1,PARIS,2.3521334,48.8565056
Adel Abidin,1,Paris,2.3521334,48.8565056
Adel Abidin,1,Qatar,51.2295295,25.3336984
Adel Abidin,1,Rome,12.4830718,41.8933439
Adel Abidin,1,Sharjah,55.7954410161,25.21749685
Adel Abidin,1,South Korea,127.937111,35.3985008
Adel Abidin,1,Switzerland,8.2319736,46.7985624
Adel Abidin,1,Tokyo,139.5103950735,35.69004135
Adel Abidin,1,Toronto,-79.3849008,43.6529206
Adel Abidin,1,UAE,31.2718321,49.4871968
Adel Abidin,1,UK,-3.2765753,54.7023545
Adel Abidin,1,Vancouver,-123.1139383,49.2608944
Adel Abidin,1,Zaragoza,-0.8809428,41.6521342
Adele Ne Jame,1,Denver,-104.9847034,39.7391536
Adele Ne Jame,1,Georgetown,-84.5588311,38.2097967
Adele Ne Jame,1,Hawaii,-157.975203,21.2160437
Adele Ne Jame,1,Honolulu,-157.8556764,21.304547
Adele Ne Jame,1,Madison,-89.3837613,43.074761
Adele Ne Jame,1,New Jersey,-74.4041622,40.0757384
Adham Wanly,1,Alexandria,29.8943785,31.1990035
Adham Wanly,1,Aswan,32.8973065,24.0910711
Adham Wanly,1,Cairo,31.2436663,30.0488185
Adham Wanly,1,Doha,51.5759155776,25.34403115
Adham Wanly,1,Florence,11.2555757,43.7698712
Adham Wanly,1,France,1.8883335,46.603354
Adham Wanly,1,Italy,12.674297,42.6384261
Adham Wanly,1,Spain,-4.003104,40.0028028
Adila Laidi-Hanieh,1,Palestine,35.0015196,30.8760272
Adila Laidi-Hanieh,1,Paris,2.3521334,48.8565056
Adrian Paci,1,Albania,19.9999619,41.000028
Adrian Paci,1,Bergamo,9.669839,45.6945115
Adrian Paci,1,Essen,7.0114963,51.4572062
Adrian Paci,1,Germany,10.4234469,51.0834196
Adrian Paci,1,Milan,9.1905368,45.466797
Adrian Paci,1,New York,-73.9865812,40.7305991
Adrian Paci,1,Stockholm,18.0710935,59.3251172
Adrian Paci,1,Tirana,19.8185323,41.3279457
Adrian Paci,1,Venice,12.3345899,45.4371908
Agnes Janich,1,Africa,15.9999997,2.0000003
Agnes Janich,1,Berlin,13.3888599,52.5170365
Agnes Janich,1,Bratislava,17.1597440625,48.1359085
Agnes Janich,1,Central European,4.3883668,50.8369797
Agnes Janich,1,Europe,9.9999997,51.0000003
Agnes Janich,1,Finland,25.9209164,63.2467777
Agnes Janich,1,Indonesia,114.5632032,-4.7993356
Agnes Janich,1,Lodz,19.4783822195,51.77305755
Agnes Janich,1,London,-0.1276474,51.5073219
Agnes Janich,1,New York,-73.9865812,40.7305991
Agnes Janich,1,Paris,2.3521334,48.8565056
Agnes Janich,1,Poland,19.0258159,52.0977181
Agnes Janich,1,Rome,12.4830718,41.8933439
Agnes Janich,1,Singapore,103.852038,1.2904527
Agnes Janich,1,Solothurn,7.5384045,47.2081355
Agnes Janich,1,Spain,-4.003104,40.0028028
Agnes Janich,1,Spital,-2.9940655,53.3400533
Agnes Janich,1,Switzerland,8.2319736,46.7985624
Agnes Janich,1,the Far East,121.0299575,14.7659454
Agnes Janich,1,USA,-100.4458825,39.7837304
Agnes Janich,1,Warsaw,21.0067265,52.2319237
Ahaad Alamoudi,1,England,-0.5402402366,52.7954791
Ahaad Alamoudi,1,Jeddah,39.1640396,21.5822247
Ahaad Alamoudi,1,Saudi Arabia,42.3528328,25.6242618
Ahmad Amin Nazar,1,Cologne,6.9599738,50.9383611
Ahmad Amin Nazar,1,Germany,10.4234469,51.0834196
Ahmad Amin Nazar,1,Iran,52.9471344,32.9407496
Ahmad Amin Nazar,1,Tehran,51.4214589,35.6865107
