target,source,group,lat,long
Baghdad,Abdul Qadir al-Rassam,1,44.422,33.325
Baghdad,Ahmed Alsoudani,1,44.422,33.325
Baghdad,Samira Badran,1,44.422,33.325
Baghdad,Mohammed Melehi,1,44.422,33.325
Baghdad,Ismail al-Shaikhly,1,44.422,33.325
Baghdad,Suad Al Attar,1,44.422,33.325
Baghdad,Mohammed Ghani Hikmat,1,44.422,33.325
Baghdad,Hayv Kahraman,1,44.422,33.325
Baghdad,Jamal Al Kebasi,1,44.422,33.325
Baghdad,Jalal Toufic,1,44.422,33.325
Baghdad,Atta Sabri,1,44.422,33.325
Baghdad,Salim al-Dabbagh,1,44.422,33.325
Baghdad,Adel Abidin,1,44.422,33.325
Baghdad,Faiq Hassan,1,44.422,33.325
Bahrain,Marwa Rustam,1,50.5577,26.0667
Bahrain,Waheeda Malullah,1,50.5577,26.0667
Bahrain,Zahra Bu Ali,1,50.5577,26.0667
Bahrain,Jenine Sharabi,1,50.5577,26.0667
Bahrain,Shadia Alem,1,50.5577,26.0667
Bahrain,Lantian Xie,1,50.5577,26.0667
Bahrain,Fay├ºal Baghriche ,1,50.5577,26.0667
Bahrain,Faisal Samra,1,50.5577,26.0667
Baku,Hamra Abbas,1,49.86709,40.40926
Baltimore,Raed Yassin,1,-76.61219,39.29038
Baltimore,Amir H. Fallah,1,-76.61219,39.29038
Bamako,Susan Hefu,1,-8,12.65
Bamako,Youssef bil,1,-8,12.65
Bamako,Isma├»l Bahri,1,-8,12.65
Bamako,Mohamed Bourouissa,1,-8,12.65
Bamako,Maha Maamoun,1,-8,12.65
Bamako,Mou Karray,1,-8,12.65
Bangkok,Nir Esber,1,100.5018,13.75633
Barbican,Sulayman Al Bassam,1,-0.093889,51.51917
Barcelo,Samira Badran,1,2.173404,41.38506
Barcelo,Youssef bil,1,2.173404,41.38506
Barcelo,Latifa Echakhch,1,2.173404,41.38506
Barcelo,Magdi Mostafa,1,2.173404,41.38506
Barcelo,Vartan Avakian,1,2.173404,41.38506
Barcelo,Gamal el-Sigini,1,2.173404,41.38506
Barcelo,Abdelkader Benchamma,1,2.173404,41.38506
Bari,Yasam Sasmazer,1,16.87187,41.11714
Basra,Wissam Shawkat,1,47.81667,30.5
Basra,Sama Alshaibi,1,47.81667,30.5
Bat,Adel Abdessemed,1,6.166667,35.55
Beaumont,Ahmed Cherkaoui,1,-94.12656,30.08017
Bedouin,Shadia Alem,1,4.977876,44.36005
Beijing,Fay├ºal Baghriche ,1,116.4074,39.90421
Beijing,Erin Ellen Kelly,1,116.4074,39.90421
Beijing,Ahmad Morshedloo,1,116.4074,39.90421
Beijing,Moataz sr,1,116.4074,39.90421
